RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637995641800,54.0,null
1637995643807,50.0,null
1637995644811,49.0,null
1637995645830,50.0,null
1637995646818,56.0,null
1637995647826,58.0,null
1637995648825,54.0,null
1637995649831,57.0,null
1637995650837,58.0,null
1637995651811,49.0,null
1637995652842,57.0,null
1637995653838,59.0,null
1637995654836,59.0,null
1637995655831,57.0,null
1637995656828,61.0,null
1637995657831,58.0,null
1637995658857,57.0,null
1637995659863,51.0,null
1637995660900,45.0,null
1637995661880,43.0,null
1637995662823,51.0,null
1637995663837,53.0,null
1637995664834,53.0,null
1637995665824,59.0,null
1637995666862,42.0,null
1637995667887,38.0,null
1637995668865,37.0,null
1637995669843,47.0,null
1637995670842,61.0,null
1637995671828,55.0,null
1637995672832,56.0,null
1637995673831,56.0,null
1637995674836,58.0,null
1637995675841,59.0,null
1637995676844,61.0,null
1637995677843,61.0,null
1637995678842,59.0,null
1637995679843,60.0,null
1637995680871,61.0,null
1637995681846,60.0,null
1637995682849,54.0,null
1637995683841,60.0,null
1637995684840,58.0,null
1637995685841,60.0,null
1637995686849,59.0,null
1637995687838,59.0,null
1637995688840,49.0,null
1637995689875,52.0,null
1637995690858,49.0,null
1637995691861,47.0,null
1637995692886,48.0,null
1637995693887,53.0,null
1637995694873,53.0,null
1637995695884,52.0,null
1637995696892,52.0,null
1637995697897,54.0,null
1637995698877,50.0,null
1637995699880,54.0,null
1637995700889,52.0,null
1637995701891,52.0,null
1637995702878,58.0,null
1637995703894,54.0,null
1637995704890,57.0,null
1637995705877,57.0,null
1637995706896,59.0,null
1637995707875,59.0,null
1637995708883,57.0,null
1637995709890,58.0,null
1637995710876,61.0,null
1637995711887,60.0,null
1637995712899,51.0,null
1637995713886,50.0,null
1637995714887,60.0,null
1637995715888,60.0,null
1637995716891,59.0,null
1637995717891,61.0,null
1637995718889,60.0,null
1637995719882,60.0,null
1637995720891,60.0,null
1637995721880,61.0,null
1637995722885,60.0,null
1637995723903,60.0,null
1637995724894,40.0,null
1637995725888,60.0,null
1637995726890,57.0,null
1637995727890,58.0,null
1637995728899,59.0,null
1637995729912,59.0,null
1637995730931,59.0,null
1637995732017,33.0,null
1637995732923,46.0,null
1637995733922,54.0,null
1637995734933,56.0,null
1637995735933,55.0,null
1637995736925,53.0,null
1637995737934,56.0,null
1637995738921,56.0,null
1637995739919,58.0,null
1637995740943,56.0,null
1637995741925,57.0,null
1637995742937,54.0,null
1637995743925,57.0,null
1637995744923,54.0,null
1637995745932,60.0,null
1637995746933,59.0,null
1637995747926,60.0,null
1637995748931,56.0,null
1637995749925,57.0,null
1637995750952,52.0,null
1637995751940,51.0,null
1637995752952,35.0,null
1637995753927,49.0,null
1637995754931,61.0,null
1637995755934,53.0,null
1637995756934,55.0,null
1637995757947,59.0,null
1637995758932,57.0,null
1637995759931,57.0,null
1637995760934,60.0,null
1637995762030,50.0,null
1637995762963,43.0,null
1637995763941,54.0,null
1637995764939,57.0,null
1637995765949,57.0,null
1637995766959,56.0,null
1637995767965,58.0,null
1637995768958,58.0,null
1637995769954,56.0,null
1637995770952,53.0,null
1637995771962,52.0,null
1637995772951,55.0,null
1637995773976,49.0,null
1637995774956,56.0,null
1637995775988,54.0,null
1637995776963,55.0,null
1637995777977,52.0,null
1637995778970,54.0,null
1637995779958,49.0,null
1637995780969,57.0,null
